"location","source","target"
"﻿Character.NewsName.0","Miki",""
"Character.NewsName.1","狂潮新闻zz","狂潮新闻zz"
"Character.NewsName.2","八番设计院","八番设计院"
"Character.NewsName.3","Sake",""
"Character.NewsName.4","N2情感挽回","N2情感挽回"
"Character.NewsName.5","N2心理咨询","N2心理咨询"
"Character.NewsName.6","Milix游戏","Milix游戏"
"Character.NewsName.7","主食+_Official","主食+_Official"
"Character.NewsName.8","古银","古银"
"Character.NewsName.9","Ayaka","Ayaka"
"Character.NewsName.10","Thread Tech","Thread Tech"
"Character.NewsName.11","Momo",""
"Character.NewsName.12","霍利蓬松猫",""
"Character.NewsName.13","阿比酱","阿比酱"
"Character.NewsName.14","Mew","Mew"
"Character.NewsName.15","829Cafe","829Cafe"
"Character.NewsName.16","海欧堂商务咨询","海欧堂商务咨询"
"Character.NewsName.17","大神秘学家Regules",""
"Character.NewsName.18","大方人力资源","大方人力资源"
"Character.NewsName.19","麻园地铁传媒","麻园地铁传媒"
"Character.NewsName.20","用户82331617U",""
"Character.NewsName.21","咸鱼Hitomi",""
"Character.NewsName.22","五十夜威尔森",""
"Character.NewsName.23","我起了一枪秒",""
"Character.NewsName.24","遥遥还想努力",""
"Character.NewsName.25","Achiiiizz","Achiiiizz"
"Character.NewsName.26","冬坂电音节官方","冬坂电音节官方"
"Character.NewsName.27","面神福音","面神福音"
"Character.NewsName.28","老珍妮",""
"Character.NewsName.29","E_Musemu","E_Musemu"
"Character.NewsName.30","SAE_Studio","SAE_Studio"
"Character.NewsName.31","电子生物男的绝望","电子生物男的绝望"
"Character.NewsName.32","AA美男子小李",""
"Character.NewsName.33","疤头",""
"Character.NewsName.34","墨茶咖啡老谢","墨茶咖啡老谢"
"Character.NewsName.35","飞行孤独员",""
"Character.NewsName.36","若户文化旅游","若户文化旅游"
"Character.NewsName.37","余火",""
"Character.NewsName.38","通向杨树","通向杨树"
"Character.NewsName.39","大麦",""
"Character.NewsName.40","南风文化传媒","南风文化传媒"
"Character.NewsName.111","Momo",""
"Character.NewsName.112","Momo","Momo"
"Character.NewsName.41","朝天阙","朝天阙"
"Character.NewsName.42","Ben",""
"Character.NewsName.43","神之域超门",""
"Character.RealName.Miki","Miki","Miki"
"Character.NickName.Miki","三木","三木"
"Character.RealName.Nil","Nil","Nil"
"Character.NickName.Nil","薯条仔","薯条仔"
"Character.Nil.Motto.1","嘎嘎嘎嘎嘎","嘎嘎嘎嘎嘎"
"Character.Nil.State.1","在线","在线"
"Character.Nil.State.2","明天见","明天见"
"Character.Nil.State.3","醉酒喵","醉酒喵"
"Character.RealName.Kaede","Kaede","Kaede"
"Character.NickName.Kaede","每天开心","每天开心"
"Character.Kaede.Motto.1","平安喜乐……","平安喜乐……"
"Character.RealName.Someone","Someone","Someone"
"Character.NickName.Someone","匿名消息","匿名消息"
"Character.Someone.Motto.1","以血亲吻过月的贞洁和疯狂","以血亲吻过月的贞洁和疯狂"
"Character.RealName.Ben","Ben",""
"Character.NickName.Ben","Ben","Ben"
"Character.Ben.Motto.1","群心","群心"
"Character.RealName.Alan","Alan","Alan"
"Character.NickName.Alan","艾兰","艾兰"
"Character.Alan.Motto.1","真理掌握在进水的脑袋里。","真理掌握在进水的脑袋里。"
"Character.RealName.主食+云府事业部","主食+云府事业部","主食+云府事业部"
"Character.NickName.主食+云府事业部","主食+","主食+"
"Character.主食+云府事业部.Motto.1","欢迎畅所欲言","欢迎畅所欲言"
"Character.主食+云府事业部.State.1","活跃","活跃"
"Character.主食+云府事业部.State.2","禁言中","禁言中"
"Character.RealName.Duke","Duke","Duke"
"Character.NickName.Duke","小巴司机","小巴司机"
"Character.Duke.Motto.1","保持愤怒。","保持愤怒。"
"Character.RealName.Holly","Holly","Holly"
"Character.NickName.Holly","霍利蓬松猫","霍利蓬松猫"
"Character.Holly.Motto.1","美食与热情不可辜负！","美食与热情不可辜负！"
"Character.RealName.Kathy","Kathy","Kathy"
"Character.NickName.Kathy","老珍妮","老珍妮"
"Character.Kathy.Motto.1","年年有余，周而复始","年年有余，周而复始"
"Character.RealName.Max","Max","Max"
"Character.NickName.Max","大麦","大麦"
"Character.Max.Motto.1","Carpe diem.","Carpe diem."
"Character.RealName.Sella","Sella","Sella"
"Character.NickName.Sella","疤头","疤头"
"Character.Sella.Motto.1","被自制小饮料毒翻了","被自制小饮料毒翻了"
"Character.RealName.829","829咖啡活动群","829咖啡活动群"
"Character.NickName.829","829咖啡","829咖啡"
"Character.829.Motto.1","欢迎参与","欢迎参与"
"Character.RealName.ANS","ANS","ANS"
"Character.NickName.ANS","不喝可乐","不喝可乐"
"Character.ANS.Motto.1","-",""
"Character.RealName.May","May","May"
"Character.NickName.May","冰箱会吃什么？","冰箱会吃什么？"
"Character.May.Motto.1","谋事在人，成事在天","谋事在人，成事在天"
"Character.RealName.Grave","Grave","Grave"
"Character.NickName.Grave","飞行孤独员","飞行孤独员"
"Character.Grave.Motto.1","多闻土木少识人。","多闻土木少识人。"
"Character.RealName.Nami","Nami","Nami"
"Character.NickName.Nami","咸鱼Hitomi","咸鱼Hitomi"
"Character.Nami.Motto.1","唔啊啊啊！我是艺术！","唔啊啊啊！我是艺术！"
"Character.RealName.Haruka","Haruka","Haruka"
"Character.NickName.Haruka","遥遥还想努力","遥遥还想努力"
"Character.Haruka.Motto.1","哔啵(｡ò ∀ ó｡)！一起逃跑~","哔啵(｡ò ∀ ó｡)！一起逃跑~"
"Character.RealName.Daisy","Daisy","Daisy"
"Character.NickName.Daisy","繁花与诗","繁花与诗"
"Character.Daisy.Motto.1","今天的风有点喧嚣啊——","今天的风有点喧嚣啊——"
"Character.RealName.System","System","System"
"Character.NickName.System","连接助手","连接助手"
"Character.System.Motto.1","-",""
"Character.RealName.Sake","Sake","Sake"
"Character.NickName.Sake","苍蓝之星","苍蓝之星"
"Character.Sake.Motto.1","   ","   "
