"location","source","target"
"﻿D9E6NilHelp.Typing.1","请求支援","请求支援"
"D9E6NilHelp.Think.200","让 Nil 帮忙吧","让 Nil 帮忙吧"
"D9E6NilHelp.Typing.2","你看一下聊天","你看一下聊天"
"D9E6NilHelp.Nil.3","什么喵？","什么喵？"
"D9E6NilHelp.Typing.4","你看一下记录","你看一下记录"
"D9E6NilHelp.Nil.5","好，我速看","好，我速看"
"D9E6NilHelp.Nil.6","妈的居然有这种事情","妈的居然有这种事情"
"D9E6NilHelp.Nil.7","交给我吧","交给我吧"
"D9E6NilHelp.Nil.8","喝！任何邪恶","喝！任何邪恶"
"D9E6NilHelp.Nil.9","终将绳之以法！","终将绳之以法！"
"D9E6NilHelp.Typing.10","那就交给你吧","那就交给你吧"
"D9E6NilHelp.Nil.11","你先别跑","你先别跑"
"D9E6NilHelp.Typing.12","我没说要跑吧","我没说要跑吧"
"D9E6NilHelp.Nil.13","总之你先别跑","总之你先别跑"
"D9E6NilHelp.Typing.14","好",""
"D9E6NilHelp.Typing.15","能说明一下情况吗？","能说明一下情况吗？"
"D9E6NilHelp.Nil.16","情况很复杂","情况很复杂"
"D9E6NilHelp.Nil.17","但是也很简单","但是也很简单"
"D9E6NilHelp.Nil.18","这个 MageCC 这两天一直在到处骗","这个 MageCC 这两天一直在到处骗"
"D9E6NilHelp.Nil.19","各种敲诈赛博生命虚拟主播","各种敲诈赛博生命虚拟主播"
"D9E6NilHelp.Nil.20","你也小心一点吧","你也小心一点吧"
"D9E6NilHelp.Nil.21","最近风声是真的很紧","最近风声是真的很紧"
"D9E6NilHelp.Nil.22","对了那些已经过来的钱","对了那些已经过来的钱"
"D9E6NilHelp.Nil.23","你想怎么处理","你想怎么处理"
"D9E6NilHelp.Typing.24","必须贪掉","必须贪掉"
"D9E6NilHelp.Nil.101","好，我帮你贪点","好，我帮你贪点"
"D9E6NilHelp.Typing.102","收个一般委托费","收个一般委托费"
"D9E6NilHelp.Typing.25","物归原主","物归原主"
"D9E6NilHelp.Typing.26","留给 Lith","留给 Lith"
"D9E6NilHelp.Nil.27","好","好"
"D9E6NilHelp.Typing.28","那些已经炸了的群","那些已经炸了的群"
"D9E6NilHelp.Nil.29","Miki，网络也不能抹平所有伤痕","Miki，网络也不能抹平所有伤痕"
"D9E6NilHelp.Nil.30","炸了就炸了吧","炸了就炸了吧"
"D9E6NilHelp.Typing.31","这个 Lith 到底是什么身份啊？","这个 Lith 到底是什么身份啊？"
"D9E6NilHelp.Nil.32","就是一个赛博生命虚拟主播吧","就是一个赛博生命虚拟主播吧"
"D9E6NilHelp.Typing.33","这些虚拟主播都是赛博生命吗？","这些虚拟主播都是赛博生命吗？"
"D9E6NilHelp.Nil.34","不知道啊","不知道啊"
"D9E6NilHelp.Nil.35","赛博生命就业情况很差","赛博生命就业情况很差"
"D9E6NilHelp.Nil.36","可能有很多是吧","可能有很多是吧"
"D9E6NilHelp.Typing.37","你打算怎么做啊？","你打算怎么做啊？"
"D9E6NilHelp.Nil.38","我会处理好的","我会处理好的"
"D9E6NilHelp.Nil.39","放心吧","放心吧"
"D9E6NilHelp.Typing.40","闻到了可疑的味道","闻到了可疑的味道"
"D9E6NilHelp.Nil.41","怎么会","怎么会"
"D9E6NilHelp.Nil.42","哎呀，就是赛博生命的事情太麻烦了","哎呀，就是赛博生命的事情太麻烦了"
"D9E6NilHelp.Nil.43","不过快了","不过快了"
"D9E6NilHelp.Nil.44","我们会在那个更好的世界","我们会在那个更好的世界"
"D9E6NilHelp.Nil.45","相遇的","相遇的"
"D9E6NilHelp.Typing.46","谜语人给我","谜语人给我"
"D9E6NilHelp.Nil.47","我先处理一下 Lith 的事情","我先处理一下 Lith 的事情"
"D9E6NilHelp.Nil.48","之后遇到赛博生命的委托都转给我吧","之后遇到赛博生命的委托都转给我吧"
"D9E6NilHelp.Nil.49","溜了","溜了"
