location,source,target
NamiFailed.Typing.1,我回来了,
NamiFailed.Nami.2,好快！怎么样怎么样,
NamiFailed.Typing.3,简单来说,
NamiFailed.Typing.4.1,失败了,
NamiFailed.Typing.4.2,被拒绝了,
NamiFailed.Typing.4.3,没有达成你想要的结果,
NamiFailed.Nami.7,啊……怎么会这样,
NamiFailed.Nami.8,我能拿到赔偿金一类的东西吗,
NamiFailed.Monologue.9,……,
NamiFailed.Typing.10,不行,
NamiFailed.Typing.11.1,（……）,
NamiFailed.Typing.11.2,不过你要是想做建筑这一行,
NamiFailed.Typing.11.3,也许还有别的办法,
NamiFailed.Nami.14,再说吧,
NamiFailed.Monologue.15,没再回消息了……,
NamiFailed.Monologue.16,又一个建筑人梦碎麻园。,
NamiFailed.Monologue.17,靠……,
